City-County,2014 Estimate,2010 Census,2000 Census
Afton-Lincoln,1968,1911,1818
Albin-Laramie,185,181,120
Alpine-Lincoln,845,828,550
Baggs-Carbon,439,440,348
Bairoil-Sweetwater,107,106,97
Bar Nunn-Natrona,2735,2213,936
Basin-Big Horn,1312,1285,1238
Bear River-Uinta,521,518,0
Big Piney-Sublette,538,552,408
Buffalo-Johnson,4615,4585,3900
Burlington-Big Horn,332,288,250
Burns-Laramie,305,301,285
Byron-Big Horn,609,593,557
Casper-Natrona,4086,35316,32644
Cheyenne-Laramie,62845,59466,5311
Chugwater-Platte,216,212,244
Clearmont-Sheridan,142,142,115
Cody-Park,9740,9520,8835
Cokeville-Lincoln,542,535,506
Cowley-Big Horn,718,655,560
Dayton-Sheridan,794,757,678
Deaver-Big Horn,184,178,177
Diamondville-Lincoln,740,737,716
Dixon-Carbon,97,97,79
Douglas-Converse,6423,6120,5288
Dubois-Fremont,998,971,962
East Thermopolis-Hot Springs,252,254,274
Edgerton-Natrona,199,195,169
Elk Mountain-Carbon,196,191,192
Evanston-Uinta,12190,12359,11507
Evansville-Natrona,2831,2544,2255
Fort Laramie-Goshen,227,230,243
Frannie-Park,162,157,209
Gillette-Campbell,31971,2987,19646
Glendo-Platte,201,205,229
Glenrock-Converse,2583,2576,2231
Grand Encampment-Carbon,443,450,443
Granger-Sweetwater,139,139,146
Green River-Sweetwater,12630,12515,11808
Greybull-Big Horn,1868,1847,1815
Guernsey-Platte,1193,1147,1147
Hanna-Carbon,831,841,873
Hartville-Platte,62,62,76
Hudson-Fremont,462,458,407
Hulett-Crook,400,383,408
Jackson-Teton,10449,9577,8647
Kaycee-Johnson,260,263,249
Kemmerer-Lincoln,2732,2656,2651
Kirby-Hot Springs,93,92,57
La Barge-Lincoln,553,551,431
La Grange-Goshen,455,448,332
Lander-Fremont,7642,7487,6867
Laramie-Albany,3281,30816,27204
Lingle-Goshen,467,468,510
Lost Springs-Converse,4,4,1
Lovell-Big Horn,2404,2360,2281
Lusk-Niobrara,1578,1567,1447
Lyman-Uinta,277,2115,1938
Manderson-Big Horn,117,114,104
Manville-Niobrara,93,95,101
Marbleton-Sublette,1114,194,720
Medicine Bow-Carbon,277,284,274
Meeteetse-Park,327,327,351
Midwest-Natrona,412,404,408
Mills-Natrona,3690,3461,2591
Moorcroft-Crook,136,19,807
Mountain View-Uinta,1304,1286,1153
Newcastle-Weston,3513,3532,365
Opal-Lincoln,99,96,102
Pavillion-Fremont,240,231,165
Pine Bluffs-Laramie,1146,1129,1153
Pine Haven-Crook,498,490,222
Pinedale-Sublette,1958,230,1412
Powell-Park,6407,6314,5373
Ranchester-Sheridan,943,855,701
Rawlins-Carbon,9227,9259,8538
Riverside-Carbon,53,52,59
Riverton-Fremont,10953,10615,9310
Rock River-Albany,245,245,235
Rock Springs-Sweetwater,2445,2336,18708
Rolling Hills-Converse,439,440,449
Saratoga-Carbon,1692,1690,1726
Sheridan-Sheridan,17916,17444,15804
Shoshoni-Fremont,655,649,635
Sinclair-Carbon,424,433,423
Star Valley Ranch-Lincoln,1541,1503,776
Sundance-Crook,1239,1182,1161
Superior-Sweetwater,332,336,244
Ten Sleep-Washakie,253,260,304
Thayne-Lincoln,364,366,341
Thermopolis-Hot Springs,320,39,3172
Torrington-Goshen,6736,6501,5776
Upton-Weston,1104,1100,872
Van Tassell-Niobrara,15,15,18
Wamsutter-Sweetwater,503,451,261
Wheatland-Platte,3659,3627,3548
Worland-Washakie,5366,5487,5250
Wright-Campbell,1847,1807,1347
Yoder-Goshen,161,151,169
